HSPCs	Thrombocytes	Erythrocytes	Neutrophils	Macrophages	B_cells	T_cells	NK_cells	Kidney_progenitors	Kidney_prox_tubule	Kidney_distal_tubule 	Epithelial	Kidney_Multiciliated 	Endothelial	Fibroblasts	Hepatocytes	Cholangiocytes
hells	tspan7	RF00609	cfl1l	marco		nitr2b	sept8a						si:ch211-33e4.2		tdrd5	
snu13b	itga2b	creg1	ch25hl2	mfap4		ifng1-2	nitr1j						tie1		apobb.2	
cmyb	fn1b	cd59	illr4	prf1.7		si:ch211-132g1.4	nitr7a						ecscr		AL953907.1	
ikzf1	bmp16	CR383669.1	mpx	si:ch211-147m6.2		epd							myct1a		crp2	
coro1a	ADM	epd	mmp13a	si:dkey-78l4.6		plp1b							scarf1		igfals	
hmga1a	apln	plp1b	cdaa	zgc:173915		gzm3.3							rasip1		zgc:103559	
fermt3b		ccl34b.1	lect2l	zgc:198419											cfhl3	
top1		si:ch211-103n10.5	CABZ01040055.1	itgae.1												
s1pr5b		si:ch211-250g4.3	si:ch1073-67j19.1	c1qa												
tagapb		nt5e	lyz	NPC2 (1 of many)												
si:ch211-103n10.5		slc6a22.2	BX908782.2	si:dkey-148a17.6												
TCIM (1 of many)		si:ch211-207c6.2	hbba1	zgc:103700												
drl		alas2	npsn	marco												
zar1		hif1al2	grn1	c1qb												
hif1al2		zgc:163057	si:ch211-5k11.8	mrc1b												
si:dkey-261j4.4		MFAP4 (1 of many).10	si:ch211-9d9.1	ccl35.1												
		CR293511.1	blf	si:ch211-194m7.4												
			drl													
			znfl2a													
			stc1l													
			si:dkey-261j4.4													
			si:ch73-299h12.2													
			TCIM													
			si:ch1073-429i10.1													
			si:dkeyp-75b4.10													
			c6ast1													
			si:dkey-77g12.1													
			ch25hl2													
			csf3b													
			zgc:195023													
			si:ch211-256a21.4													
			si:dkey-203a12.8													
			il1b													
			myhc4													
			si:ch211-264e16.2													
			paplnb													
			abcc13													
			tnni2a.3													
			si:dkey-42l23.4													
			c6ast1													
			si:dkey-238m4.4													
			itln1													
			CR354540.1													
			pigrl2.3.1													
			il4													
			si:ch211-8c17.2													
			ch25hl2													
			si:ch73-170d6.3													
