Nfur_Accession	Nfur_Description	Nfur_Symbol	Mmu_Symbol
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Cd8b1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav4n-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv13-3
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13d-4
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav13n-2
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv12-1
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trav4-4-dv10
XP_015796024.1	uncharacterized protein LOC107372328	LOC107372328	Trbv13-1
XP_015796025.1	uncharacterized protein LOC107372329	LOC107372329	Trav15d-1-dv6d-1
XP_015796025.1	uncharacterized protein LOC107372329	LOC107372329	Trav15-1-dv6-1
XP_015796025.1	uncharacterized protein LOC107372329	LOC107372329	Trav15n-1
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	Pnlip
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	Pnliprp2
XP_015796027.1	inactive pancreatic lipase-related protein 1-like	LOC107372330	Pnliprp1
XP_015796029.1	heat shock 70 kDa protein 12A-like	LOC107372332	Hspa12a
XP_015796031.1	low-density lipoprotein receptor class A domain-containing protein 2 isoform X1	ldlrad2	Ldlrad2
XP_015796033.1	laminin subunit beta-3-like	LOC107372335	Lamb3
XP_015796035.1	notch-regulated ankyrin repeat-containing protein	nrarp	Nrarp
XP_015796036.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X1	uaca	Ankrd24
XP_015796036.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X1	uaca	Ankrd35
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	Ankrd24
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	Uaca
XP_015796037.1	uveal autoantigen with coiled-coil domains and ankyrin repeats isoform X2	uaca	Ankrd35
XP_015796040.1	protein AMBP-like	LOC107372346	Lcn5
XP_015796040.1	protein AMBP-like	LOC107372346	Ambp
XP_015796040.1	protein AMBP-like	LOC107372346	Obp2a
XP_015796041.1	serine/threonine-protein kinase N2	pkn2	Pkn3
XP_015796041.1	serine/threonine-protein kinase N2	pkn2	Pkn2
XP_015796042.1	transcription initiation factor IIB	gtf2b	Gtf2b
XP_015796044.1	tetraspanin-8-like	LOC107372354	Tspan8
XP_015796045.1	kelch-like protein 42	klhl42	Klhl42
XP_015796049.1	G-protein coupled receptor 56-like isoform X1	LOC107372360	Adgrg3
XP_015796051.1	AP-3 complex subunit sigma-2	LOC107372361	Ap3s2
XP_015796057.1	protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 isoform X2	pomgnt1	Pomgnt1
XP_015796060.1	major facilitator superfamily domain-containing protein 4-A-like isoform X3	LOC107372366	Mfsd4a
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	Lcn2
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	Lcn3
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	Lcn12
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	Obp2b
XP_015796061.1	neutrophil gelatinase-associated lipocalin	lcn2	Lcn10
XP_015796064.1	ETS domain-containing protein Elk-4-like isoform X1	LOC107372367	Elk1
XP_015796064.1	ETS domain-containing protein Elk-4-like isoform X1	LOC107372367	Elk4
XP_015796065.1	ETS domain-containing protein Elk-4-like isoform X2	LOC107372367	Elk4
XP_015796066.1	sodium bicarbonate transporter-like protein 11	slc4a11	Slc4a11
XP_015796071.1	neuronal-specific septin-3-like isoform X2	LOC107372372	Septin12
XP_015796072.1	long-chain fatty acid transport protein 4	slc27a4	Slc27a4
XP_015796072.1	long-chain fatty acid transport protein 4	slc27a4	Slc27a1
XP_015796074.1	two pore calcium channel protein 2	tpcn2	Tpcn2
XP_015796075.1	complement C4-like isoform X1	LOC107372375	C4b
XP_015796081.1	steroid 21-hydroxylase-like isoform X2	LOC107372377	Cyp21a1
XP_015796085.1	DNA repair protein SWI5 homolog isoform X1	swi5	Swi5
XP_015796087.1	acidic amino acid decarboxylase GADL1-like isoform X2	LOC107372381	Gadl1
XP_015796093.1	radial spoke head protein 6 homolog A-like	LOC107372382	Rsph6a
XP_015796093.1	radial spoke head protein 6 homolog A-like	LOC107372382	Rsph4a
XP_015796096.1	TGF-beta receptor type-2-like isoform X1	LOC107372384	Tgfbr2
XP_015796103.1	zinc finger protein neuro-d4-like	LOC107372393	Dpf3
XP_015796103.1	zinc finger protein neuro-d4-like	LOC107372393	Dpf1
XP_015796104.1	protein FAM163B-like	LOC107372389	Fam163b
XP_015796114.1	coiled-coil domain-containing protein 171 isoform X1	ccdc171	Ccdc171
XP_015796115.1	coiled-coil domain-containing protein 171 isoform X2	ccdc171	Ccdc171
XP_015796116.1	WD repeat-containing protein 55	wdr55	Wdr55
XP_015796119.1	prolyl-tRNA synthetase associated domain-containing protein 1-like	LOC107372403	Prorsd1
XP_015796120.1	melanopsin-A-like	LOC107372404	Opn4
XP_015796120.1	melanopsin-A-like	LOC107372404	Gpr135
XP_015796122.1	Werner syndrome ATP-dependent helicase isoform X2	wrn	Recql5
XP_015796122.1	Werner syndrome ATP-dependent helicase isoform X2	wrn	Wrn
XP_015796123.1	prickle-like protein 1	LOC107372407	Prickle4
XP_015796123.1	prickle-like protein 1	LOC107372407	Gm21981
XP_015796123.1	prickle-like protein 1	LOC107372407	Prickle1
XP_015796124.1	dopamine beta-hydroxylase isoform X2	dbh	Dbh
XP_015796126.1	cerebellar degeneration-related protein 2-like	LOC107372409	Cdr2l
XP_015796127.1	rho GDP-dissociation inhibitor 1-like	LOC107372410	Arhgdia
XP_015796127.1	rho GDP-dissociation inhibitor 1-like	LOC107372410	Arhgdib
XP_015796128.1	heterogeneous nuclear ribonucleoprotein A/B-like	LOC107372411	Rbm31y
XP_015796130.1	brain mitochondrial carrier protein 1 isoform X2	slc25a14	Slc25a14
XP_015796134.1	maternal B9.10 protein-like	LOC107372416	Btg4
XP_015796134.1	maternal B9.10 protein-like	LOC107372416	Btg3
XP_015796135.1	sarcosine dehydrogenase, mitochondrial	sardh	Sardh
XP_015796136.1	heparan-alpha-glucosaminide N-acetyltransferase isoform X1	hgsnat	Hgsnat
XP_015796137.1	heparan-alpha-glucosaminide N-acetyltransferase isoform X2	hgsnat	Hgsnat
XP_015796141.1	transcription initiation factor IIE subunit beta	gtf2e2	Gtf2e2
XP_015796142.1	dynactin subunit 6	dctn6	Dctn6
XP_015796143.1	small integral membrane protein 18	smim18	Smim18
XP_015796147.1	cleavage and polyadenylation specificity factor subunit 1	cpsf1	Cpsf1
XP_015796148.1	probable inactive glycosyltransferase 25 family member 3	cercam	Cercam
XP_015796149.1	RNA polymerase II subunit A C-terminal domain phosphatase isoform X1	ctdp1	Ctdp1
XP_015796150.1	RNA polymerase II subunit A C-terminal domain phosphatase isoform X2	ctdp1	Ctdp1
XP_015796151.1	uncharacterized aarF domain-containing protein kinase 5 isoform X1	adck5	Adck5
XP_015796153.1	DEP domain-containing protein 5 isoform X1	depdc5	Depdc5
XP_015796154.1	DEP domain-containing protein 5 isoform X2	depdc5	Depdc5
XP_015796155.1	DEP domain-containing protein 5 isoform X3	depdc5	Depdc5
XP_015796156.1	DEP domain-containing protein 5 isoform X4	depdc5	Depdc5
XP_015796158.1	segment polarity protein dishevelled homolog DVL-2	dvl2	Dvl2
XP_015796159.1	very long-chain specific acyl-CoA dehydrogenase, mitochondrial	acadvl	Acadvl
XP_015796160.1	ubiquitin-related modifier 1	urm1	Urm1
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Gm7609
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Gm52955
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Csprs
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Gm7592
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Gm7582
XP_015796161.1	olfactory receptor 2A25-like	LOC107372431	Gm15433
XP_015796164.1	retinoic acid receptor beta-like	LOC107372434	Rarb
XP_015796166.1	zinc finger RNA-binding protein isoform X2	zfr	Zfr
XP_015796167.1	zinc finger RNA-binding protein isoform X3	zfr	Zfr
XP_015796168.1	proline and serine-rich protein 3 isoform X1	proser3	Proser3
XP_015796170.1	SH2 domain-containing protein 3C	sh2d3c	Sh2d3c
XP_015796172.1	protein lin-37 homolog	lin37	Lin37
XP_015796174.1	gamma-secretase subunit PEN-2	psenen	Psenen
XP_015796175.1	histone-lysine N-methyltransferase 2B	kmt2b	Kmt2b
XP_015796175.1	histone-lysine N-methyltransferase 2B	kmt2b	Mbd1
XP_015796176.1	IGF-like family receptor 1	igflr1	Igflr1
XP_015796178.1	threo-3-hydroxyaspartate ammonia-lyase-like	LOC107372447	Srr
XP_015796179.1	transmembrane protein 254 isoform X1	tmem254	Tmem254
XP_015796180.1	transmembrane protein 254 isoform X2	tmem254	Tmem254
XP_015796182.1	fez family zinc finger protein 2	fezf2	Fezf2
XP_015796188.1	2-acylglycerol O-acyltransferase 1-like	LOC107372463	Mogat1
XP_015796191.1	gastrula zinc finger protein XlCGF26.1-like	LOC107372467	Zfp68
XP_015796199.1	intraflagellar transport protein 46 homolog	LOC107372474	Ift46
XP_015796202.1	DNA polymerase theta-like	LOC107372479	Polq
XP_015796205.1	spermatid perinuclear RNA-binding protein	strbp	Strbp
XP_015796206.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107372487	Zfp65
XP_015796209.1	gastrula zinc finger protein XlCGF26.1-like	LOC107372490	Zfp92
XP_015796209.1	gastrula zinc finger protein XlCGF26.1-like	LOC107372490	Zfp275
XP_015796211.1	PI-PLC X domain-containing protein 1-like	LOC107372493	Plcxd1
XP_015796212.1	voltage-dependent L-type calcium channel subunit alpha-1D-like	LOC107372495	Cacna1d
XP_015796214.1	rab GTPase-activating protein 1-like	LOC107372496	Rabgap1
XP_015796222.1	single-stranded DNA-binding protein, mitochondrial-like	LOC107372508	Ssbp1
XP_015796227.1	membrane-bound O-acyltransferase domain-containing protein 2-like	LOC107372516	Mboat2
XP_015796228.1	roquin-2-like	LOC107372515	Rc3h2
XP_015796232.1	snRNA-activating protein complex subunit 2	snapc2	Snapc2
XP_015796239.1	prominin-1-A-like	LOC107372534	Prom1
XP_015796245.1	ubiquitin carboxyl-terminal hydrolase 48	usp48	Usp48
XP_015796249.1	leucine-rich repeat transmembrane neuronal protein 2	lrrtm2	Lrrtm2
XP_015796249.1	leucine-rich repeat transmembrane neuronal protein 2	lrrtm2	Gp1ba
XP_015796250.1	zinc finger protein Gfi-1b	gfi1b	Gfi1b
XP_015796253.1	uncharacterized protein LOC107372543	LOC107372543	Pdcd1lg2
XP_015796253.1	uncharacterized protein LOC107372543	LOC107372543	Cd274
XP_015796255.1	visual system homeobox 1-like isoform X2	LOC107372549	Vsx1
XP_015796257.1	CD209 antigen-like protein E isoform X1	LOC107372551	Klra3
XP_015796258.1	CD209 antigen-like protein E isoform X2	LOC107372551	Klri1
XP_015796260.1	zinc finger protein 260-like	LOC107372553	Zfp715
XP_015796260.1	zinc finger protein 260-like	LOC107372553	Zscan10
XP_015796260.1	zinc finger protein 260-like	LOC107372553	Zfp691
XP_015796260.1	zinc finger protein 260-like	LOC107372553	Zfp672
XP_015796260.1	zinc finger protein 260-like	LOC107372553	Zfp629
XP_015796262.1	ribosome-recycling factor, mitochondrial	mrrf	Mrrf
XP_015796265.1	adhesion G protein-coupled receptor A1	adgra1	Adgra1
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zscan26
XP_015796266.1	zinc finger protein 846-like	LOC107372557	AI854703
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zkscan8
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Gm4924
XP_015796266.1	zinc finger protein 846-like	LOC107372557	5730507C01Rik
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp979
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp986
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp566
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zscan12
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp809
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp286
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp965
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp422
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp931
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp113
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp397
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp981
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Gm10770
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zkscan2
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp37
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp973
XP_015796266.1	zinc finger protein 846-like	LOC107372557	9130023H24Rik
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zfp771
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Gm14410
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zscan2
XP_015796266.1	zinc finger protein 846-like	LOC107372557	2010315B03Rik
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Zkscan3
XP_015796266.1	zinc finger protein 846-like	LOC107372557	Gm14399
XP_015796272.1	probable RNA-binding protein 18 isoform X1	rbm18	Rbm18
XP_015796273.1	F-box/LRR-repeat protein 19-like	LOC107372564	Fbxl19
XP_015796275.1	EF-hand calcium-binding domain-containing protein 4B-like isoform X1	LOC107372567	Cracr2a
XP_015796277.1	tissue factor-like	LOC107372568	F3
XP_015796278.1	ATP-binding cassette sub-family D member 3 isoform X1	abcd3	Abcd3
XP_015796279.1	probable RNA-binding protein 18 isoform X2	rbm18	Rbm18
XP_015796280.1	ATP-binding cassette sub-family D member 3 isoform X2	abcd3	Abcd3
XP_015796281.1	tubulin polymerization-promoting protein	tppp	Tppp
XP_015796282.1	alpha-1B adrenergic receptor-like	LOC107372572	Olfr58
XP_015796290.1	LIM/homeobox protein Lhx6 isoform X1	lhx6	Lhx6
XP_015796290.1	LIM/homeobox protein Lhx6 isoform X1	lhx6	Lhx8
XP_015796298.1	origin recognition complex subunit 1-like	LOC107372593	Orc1
XP_015796302.1	SH3 domain and tetratricopeptide repeat-containing protein 2-like	LOC107372598	Sh3tc2
XP_015796302.1	SH3 domain and tetratricopeptide repeat-containing protein 2-like	LOC107372598	Sh3tc1
XP_015796303.1	uncharacterized protein LOC107372600	LOC107372600	Apol11b
XP_015796303.1	uncharacterized protein LOC107372600	LOC107372600	Apol6
XP_015796304.1	matrilin-2-like	LOC107372601	Matn2
XP_015796305.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	ndufa8	Ndufa8
XP_015796311.1	beta-1,3-N-acetylglucosaminyltransferase radical fringe-like	LOC107372602	Rfng
XP_015796312.1	WD repeat domain phosphoinositide-interacting protein 3	wdr45b	Wdr45b
XP_015796315.1	MORN repeat-containing protein 5	morn5	Morn5
XP_015796318.1	gonadotropin-releasing hormone receptor-like	LOC107372612	Gnrhr
XP_015796321.1	transmembrane protein 25-like	LOC107372618	Tmem25
XP_015796324.1	syntaxin-binding protein 1-like	LOC107372624	Stxbp1
XP_015796325.1	leucine-rich repeat-containing protein 3-like	LOC107372625	Lrrc3
XP_015796331.1	probable tRNA pseudouridine synthase 1 isoform X2	LOC107372633	Trub1
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	Zscan20
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	Zfp287
XP_015796332.1	uncharacterized protein LOC107372634	LOC107372634	Zscan18
XP_015796333.1	probable tRNA (uracil-O(2)-)-methyltransferase	LOC107372636	Trmt44
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-Ab1
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-DMb2
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	Cd1d1
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-Eb2
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-Ob
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	Hfe
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-Eb1
XP_015796334.1	H-2 class II histocompatibility antigen, E-S beta chain-like	LOC107372638	H2-DMb1
XP_015796345.1	junctional protein associated with coronary artery disease-like	LOC107372651	Jcad
XP_015796350.1	butyrophilin subfamily 2 member A2-like isoform X1	LOC107372657	Skint8
XP_015796350.1	butyrophilin subfamily 2 member A2-like isoform X1	LOC107372657	Skint5
XP_015796350.1	butyrophilin subfamily 2 member A2-like isoform X1	LOC107372657	Skint1
XP_015796350.1	butyrophilin subfamily 2 member A2-like isoform X1	LOC107372657	Skint7
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	Btnl9
XP_015796351.1	butyrophilin subfamily 2 member A2-like isoform X2	LOC107372657	Btnl6
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	Btn2a2
XP_015796352.1	butyrophilin subfamily 2 member A2-like isoform X3	LOC107372657	Skint7
XP_015796353.1	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta-like	LOC107372656	Pde6b
XP_015796353.1	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta-like	LOC107372656	Pde6a
XP_015796356.1	hydroxyacid-oxoacid transhydrogenase, mitochondrial-like isoform X2	LOC107372658	Adhfe1
XP_015796359.1	fibroblast growth factor 19-like isoform X1	LOC107372661	Fgf15
XP_015796359.1	fibroblast growth factor 19-like isoform X1	LOC107372661	Fgf21
XP_015796362.1	FYN-binding protein isoform X1	fyb	Fyb
XP_015796366.1	AMP deaminase 3-like	LOC107372666	Ampd3
XP_015796367.1	protein FAM187B	fam187b	Fam187b
XP_015796367.1	protein FAM187B	fam187b	Fam187a
XP_015796369.1	FYN-binding protein isoform X2	fyb	Fyb2
XP_015796369.1	FYN-binding protein isoform X2	fyb	Pram1
XP_015796369.1	FYN-binding protein isoform X2	fyb	Fyb
XP_015796371.1	protein FAM35A	fam35a	Shld2
XP_015796373.1	epithelial cell adhesion molecule	epcam	Epcam
XP_015796373.1	epithelial cell adhesion molecule	epcam	Tacstd2
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp57
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp263
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp324
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Prdm9
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp383
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp964
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp617
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp735
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Gm3854
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp248
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp941
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Peg3
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zscan20
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zkscan17
XP_015796374.1	zinc finger protein OZF-like	LOC107372679	Zfp599
XP_015796377.1	dehydrogenase/reductase SDR family member 7C-A-like	LOC107372681	Dhrs7c
XP_015796379.1	gastrula zinc finger protein XlCGF57.1-like	LOC107372689	Zfp408
XP_015796380.1	NAD(P) transhydrogenase, mitochondrial	nnt	Nnt
XP_015796384.1	condensin-2 complex subunit H2-like	LOC107372694	Ncaph2
XP_015796388.1	NACHT domain- and WD repeat-containing protein 1-like	LOC107372701	Nwd1
XP_015796392.1	ankycorbin	rai14	Rai14
XP_015796392.1	ankycorbin	rai14	Ankrd24
XP_015796396.1	oral cancer-overexpressed protein 1	oraov1	LTO1
XP_015796397.1	atypical chemokine receptor 4-like	LOC107372710	Ackr2
XP_015796397.1	atypical chemokine receptor 4-like	LOC107372710	Ackr4
XP_015796397.1	atypical chemokine receptor 4-like	LOC107372710	Ccr6
XP_015796404.1	lysosome membrane protein 2	scarb2	Scarb2
XP_015796410.1	liver-expressed antimicrobial peptide 2-like	LOC107372719	Leap2
XP_015796415.1	macrophage migration inhibitory factor	mif	Mif
XP_015796417.1	myosin heavy chain, fast skeletal muscle-like	LOC107372732	Myh13
XP_015796418.1	iporin-like	LOC107372729	Rusc2
XP_015796421.1	R3H domain-containing protein 4	r3hdm4	R3hdm4
XP_015796432.1	proteasome subunit beta type-6-like	LOC107372744	Psmb6
XP_015796434.1	trafficking protein particle complex subunit 1	trappc1	Trappc1
XP_015796437.1	RING finger protein 208	rnf208	Rnf208
XP_015796440.1	WW domain-containing adapter protein with coiled-coil isoform X1	wac	Wac
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	Slc5a4a
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	Slc5a1
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	Gm5134
XP_015796446.1	sodium/glucose cotransporter 1	slc5a1	Slc5a4b
XP_015796447.1	mesothelin	msln	Mslnl
XP_015796447.1	mesothelin	msln	Msln
XP_015796456.1	guanine nucleotide-binding protein G(z) subunit alpha	gnaz	Gnaz
XP_015796457.1	unconventional myosin-Vb-like	LOC107372767	Myo5b
XP_015796458.1	extracellular calcium-sensing receptor-like	LOC107372768	Vmn2r111
XP_015796460.1	UPF0577 protein KIAA1324-like	LOC107372770	Elapor2
XP_015796461.1	WW domain-containing adapter protein with coiled-coil-like	LOC107372771	Wac
XP_015796462.1	gastrula zinc finger protein XlCGF57.1-like isoform X1	LOC107372772	Zfp579
XP_015796465.1	signal peptide peptidase-like 3	sppl3	Sppl3
XP_015796469.1	Bardet-Biedl syndrome 2 protein	bbs2	Bbs2
XP_015796473.1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	b3gnt9	B3gnt9
XP_015796474.1	meiosis inhibitor protein 1-like	LOC107372781	Mei1
XP_015796475.1	olfactory receptor 6N2-like	LOC107372782	Olfr702
XP_015796484.1	small conductance calcium-activated potassium channel protein 2 isoform X1	kcnn2	Kcnn2
XP_015796484.1	small conductance calcium-activated potassium channel protein 2 isoform X1	kcnn2	Kcnn1
XP_015796494.1	chondroitin sulfate synthase 1	chsy1	Chsy3
XP_015796494.1	chondroitin sulfate synthase 1	chsy1	Chsy1
XP_015796496.1	RNA-binding protein 24-like	LOC107372810	Rbm38
XP_015796496.1	RNA-binding protein 24-like	LOC107372810	Rbm24
XP_015796497.1	developmentally-regulated GTP-binding protein 1	drg1	Drg1
XP_015796505.1	uncharacterized protein C11orf96 homolog	LOC107372816	Gm13889
XP_015796506.1	stAR-related lipid transfer protein 7, mitochondrial	stard7	Stard7
XP_015796506.1	stAR-related lipid transfer protein 7, mitochondrial	stard7	Stard4
XP_015796507.1	apoptosis regulator BAX-like	LOC107372818	Bak1
XP_015796509.1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3-like	LOC107372821	Plod3
XP_015796514.1	sodium-dependent phosphate transporter 1-B-like	LOC107372824	Slc20a1
XP_015796516.1	RBBP8 N-terminal-like protein isoform X1	LOC107372827	Rbbp8nl
